,U.S. Equity,U.S. Large Cap Equity,U.S. Mid Cap Equity,U.S. Small Cap Equity,U.S. Micro Cap Equity,Global Equity,International Developed Equity,International Small Cap Equity,Global Emerging Markets Equity,U.S. Aggregate,U.S. Treasury,U.S. Treasury Bills,U.S. Intermediate Treasury,U.S. Long Treasury,U.S. Investment Grade Credit,U.S. Intermediate Investment Grade Credit,U.S. Long Investment Grade Credit,U.S. TIPS,U.S. Agencies,U.S. MBS,U.S. Investment Grade CMBS,U.S. Intermediate Municipal,U.S. Short Municipal,U.S. High Yield,U.S. Bank Loans,Global Aggregate Ex-US,Global Treasury Ex-US,Global Corporate Ex-US,Emerging Markets Sovereign USD,Emerging Markets Corporate USD,Emerging Markets Sovereign Local Currency,Absolute Return,Hedge Funds,Hedge Funds - Equity Hedge,Hedge Funds - Event Driven,Hedge Funds - Macro,Hedge Funds - Relative Value,Hedge Funds - Managed Futures,Commodities,Global Natural Resources Equity,U.S. REIT,Global REIT,Energy Infrastructure
1999-10-31,6.2726,6.7222,4.7384,0.405,-0.6084,5.0647,3.7237,-1.4079,2.1292,0.3689,0.1087,0.357,0.1288,0.0645,0.4596,0.3844,0.6175,0.1649,0.364,0.5757,0.286,-0.4661,0.0212,-0.6642,0.0667,-0.6007,-0.3434,-0.6353420403676954,0.1496880223759075,-0.003728653373287316,-0.5831692744167383,1.2,1.6,2.33,0.42,-0.75,0.53,-3.0824,-3.9636,6.249575259344648,-2.4595,-1.348,-1.7871
1999-11-30,2.7983,2.5725,2.8762,5.971,11.7604,3.107,3.9988,0.6343,8.9665,-0.0069,-0.1904,0.3626,0.0429,-0.6797,0.1067,0.2383,-0.1731,0.6409,0.0558,0.0546,0.3859,0.7802,0.4261,1.176,0.5835,-1.9987,-1.4859,-2.0967876000638435,-0.6954365189441546,-0.8712982789324895,-2.1597588892447175,5.36,5.06,6.76,3.38,3.83,1.08,2.0921,2.3451,2.7822440406669227,-1.6265,2.6735,-7.8195
1999-12-31,6.3808,6.0253,8.7985,11.32,14.5329,8.3308,9.5369,1.3672,12.7181,-0.4822,-0.6644,0.4567,-0.2812,-1.4945,-0.5297,-0.3512,-0.9118,-0.8634,-0.5839,-0.2445,-0.4596,-0.4146,-0.1191,1.1246,0.9056,-0.2236,-0.092,-0.24112807716210347,0.3776540198950744,0.23029173704042877,-0.15789606715519944,5.84,7.65,10.88,3.39,6.82,1.51,4.1445,2.8745,6.357558230838454,3.1667,4.8702,-2.9941
2000-01-31,-3.92,-4.0941,-3.3091,-1.6058,4.6109,-5.3942,-5.4263,0.2159,0.5959,-0.3271,0.2609,0.4071,-0.2743,1.4243,-0.3524,-0.4259,-0.1882,0.544,-0.2929,-0.8665,-0.7975,-0.2524,0.1922,-0.4312,0.7875,-2.8819,-3.0467,-3.020069945073599,-1.2293521089970008,-1.419393767697788,-3.1557846029901193,0.95,0.64,0.25,0.74,1.14,1.82,-1.4691,5.4215,-3.9225803344424692,0.3294,-4.191,10.7549
2000-02-29,0.9269,-0.2675,7.6859,16.5136,24.288,0.3395,2.7013,2.5356,1.3207,1.2092,1.5038,0.4663,0.7822,3.0183,0.9272,0.8176,1.174,0.8884,1.1462,1.1593,0.9478,0.476,0.314,0.1933,0.4911,-1.4101,-1.5415,-1.4814751133419888,-0.3396136970407293,-0.5060254022485506,-1.495967296048903,5.95,6.16,10.0,3.76,3.67,1.27,0.8144,1.7483,0.9145977111520583,-1.1913,-3.9579,-2.4957
2000-03-31,7.8339,9.112,5.7265,-6.5931,-9.6791,6.5739,3.7632,2.3932,0.4881,1.3166,1.986,0.4843,1.2738,3.4208,0.852,0.8475,0.8635,3.0592,0.9791,1.0937,1.4419,1.4668,0.5518,-2.1021,-0.4912,2.6147,3.2719,2.7259827469334454,2.0934744674120505,1.9916814854128775,3.042986839687615,1.55,0.93,1.73,0.03,-2.27,1.8,-2.0135,0.9691,7.807743590151294,3.288,5.9804,-0.6361
2000-04-30,-3.5241,-3.3336,-4.7326,-6.0175,-15.8228,-4.4856,-5.5815,-7.048,-9.4794,-0.2854,-0.3167,0.5154,-0.0682,-0.8008,-0.8784,-0.5752,-1.5664,1.2266,-0.1421,0.0686,-0.1405,-0.3861,0.0326,0.1597,0.3005,-4.3313,-4.3229,-4.535248195591192,-2.105549183524395,-2.318861160605876,-4.790340388205908,-3.85,-2.85,-4.19,-1.48,-3.68,1.41,-1.4003,-1.2277,-3.527474434124559,6.7193,0.0072,2.7395
2000-05-31,-2.8086,-2.5863,-2.649,-5.8282,-9.3116,-2.5952,-2.558,0.336,-4.1341,-0.0459,0.1533,0.5594,0.4181,-0.3622,-0.3724,-0.047,-1.1395,-0.2641,-0.2224,0.0461,-0.4551,-0.2911,0.1015,-1.0252,0.7516,0.9235,1.0286,0.9580308652752724,1.071103491531872,0.9421580585561374,1.1357419494178873,-0.07,-1.96,-2.44,-0.77,-1.54,0.68,0.7992,6.7303,-2.813409590281509,0.9836,-3.2699,1.1053
2000-06-30,2.9609,2.5494,2.9579,8.7171,13.2434,3.3896,4.258,8.2855,3.5225,2.0803,1.6857,0.5033,1.4432,2.1653,2.5115,2.0839,3.5465,1.2536,2.0858,2.1377,2.8182,2.3005,1.2428,2.0365,0.8108,2.9383,2.7265,3.064268714828777,2.2890984313399274,2.1925008923019744,3.407925608899585,0.52,3.68,4.85,2.92,1.24,2.18,-2.1469,2.3599,2.944517896165009,2.5652,7.1042,5.4946
2000-07-31,-1.7676,-1.6615,-1.1218,-3.2173,-4.794,-2.9372,-3.9478,-5.911,-5.143,0.9077,1.0299,0.4744,0.6752,1.7215,1.2118,0.9233,1.9258,0.8464,0.7932,0.6423,0.7519,1.2963,0.7823,0.7629,0.7392,-2.6919,-2.673,-2.8214471579904314,-1.1144925504484942,-1.301483732750543,-2.941512766926231,-0.44,-0.6,-1.58,0.15,0.05,0.93,0.9754,-5.0099,-1.7744976371849104,8.7402,4.5408,4.3698
2000-08-31,7.4162,7.4018,9.584,7.63,7.6323,3.1087,1.2364,5.2415,0.4917,1.4497,1.4683,0.5181,1.0414,2.2796,1.3014,1.281,1.3506,0.7149,1.503,1.5157,1.8458,1.3518,0.7507,0.6842,0.2618,-2.1744,-1.5917,-2.2804614089612776,-0.8016513844019048,-0.9803340323021259,-2.3579039502785344,3.58,3.81,5.35,2.01,1.73,1.59,3.1388,9.8353,7.3908814164640235,-4.0585,2.6716,3.046
2000-09-30,-4.5279,-4.6416,-1.4253,-2.939,-1.5387,-5.4924,-5.5468,-4.7973,-8.7316,0.6286,0.0792,0.535,0.7714,-1.2124,0.5258,0.9696,-0.5762,0.5447,0.8857,1.0367,1.3947,-0.343,0.0457,-0.8739,0.3582,-0.0381,-0.2676,-0.04720951398353733,0.4897932204779582,0.3454091658968179,0.051300909633491674,-0.22,-1.24,-1.08,0.63,-2.19,0.91,0.413,-0.621,-4.529261003306467,3.1818,0.1429,9.0529
2000-10-31,-1.4238,-1.2046,-1.5437,-4.464,-8.8341,-1.9565,-3.1786,-7.048,-7.2503,0.6608,0.9749,0.5062,0.6576,1.5646,0.0984,0.0911,0.1148,1.1951,0.8879,0.7181,0.7849,0.8709,0.5591,-3.203,-0.052,-1.9985,-2.0889,-2.0965785234458614,-0.6953156141456825,-0.8711741631062291,-2.1595333399435974,-0.95,-1.79,-2.01,-1.32,-0.73,-0.45,3.1023,-2.4177,-1.4313872342313938,-4.3292,-5.1066,-3.785
